appId,num_reviews,avg_rating,low_rating_pct,first_review_date,last_review_date
com.content.writing.assistant.ai,1200,4.212,14.0,2024-09-10T18:43:03+00:00,2026-01-06T13:42:35+00:00
com.dave.aiwriter,2,5.0,0.0,2025-09-04T02:08:42+00:00,2025-09-04T02:08:42+00:00
com.debasisbhandary.notes,182,4.099,16.484,2022-12-01T06:16:49+00:00,2025-12-22T13:13:07+00:00
com.disonex.thesmartnotebook,2,1.0,100.0,2025-10-08T17:32:56+00:00,2025-10-08T17:32:56+00:00
com.dktlabs.anytranscribe,410,4.044,20.488,2024-02-11T18:49:31+00:00,2026-01-03T17:03:41+00:00
com.dochub.android,208,2.702,54.808,2024-01-17T03:56:37+00:00,2026-01-03T08:17:14+00:00
com.e9foreverfs.note,1200,4.658,5.333,2022-07-07T16:48:08+00:00,2026-01-01T14:13:53+00:00
com.edevolearning.edevoteacher,278,3.921,18.705,2017-11-24T09:40:30+00:00,2025-12-23T16:06:59+00:00
com.eff.notepad.easy.fast.note.pro,1200,4.597,7.333,2024-03-21T18:38:59+00:00,2025-12-23T02:31:31+00:00
com.egitimyazilimlari.smartboard,6,1.0,100.0,2024-09-12T10:24:56+00:00,2025-12-28T07:09:46+00:00
com.eskritor.app,308,4.195,16.883,2023-09-12T08:04:22+00:00,2025-12-20T15:46:10+00:00
com.evernote,1200,1.66,83.0,2025-10-03T23:16:47+00:00,2026-01-06T03:39:32+00:00
com.feraset.ainote,146,3.466,36.986,2024-08-31T17:34:42+00:00,2026-01-04T04:26:08+00:00
com.feynman.ai,544,4.25,12.868,2024-11-07T09:40:00+00:00,2026-01-02T16:30:21+00:00
com.flexcil.flexcilnote,1200,3.415,30.667,2024-11-29T02:48:25+00:00,2026-01-06T06:00:37+00:00
com.fluidtouch.noteshelf3,1200,3.933,19.0,2025-08-31T18:34:09+00:00,2026-01-06T16:40:26+00:00
com.goodnotes.android.app,1200,2.312,63.5,2025-09-15T05:39:15+00:00,2026-01-06T16:56:35+00:00
com.google.android.apps.bard,600,4.388,11.5,2026-01-06T14:13:11+00:00,2026-01-06T17:14:05+00:00
com.google.android.apps.docs.editors.docs,1200,3.573,30.333,2025-11-28T18:00:53+00:00,2026-01-06T13:17:54+00:00
com.google.android.apps.labs.language.tailwind,1200,4.52,7.0,2025-12-21T14:03:00+00:00,2026-01-06T16:29:25+00:00
com.google.android.keep,1200,4.347,10.667,2025-12-30T16:49:11+00:00,2026-01-06T16:43:50+00:00
com.google.audio.hearing.visualization.accessibility.scribe,1200,3.265,40.667,2025-10-09T11:00:58+00:00,2026-01-06T16:52:51+00:00
com.grammarly.android.keyboard,1200,3.815,26.167,2025-11-20T08:44:09+00:00,2026-01-06T16:12:11+00:00
com.hmd.quickrecorder,46,2.87,52.174,2025-02-07T16:20:55+00:00,2025-12-05T13:37:45+00:00
com.hubx.noteai,948,3.578,32.489,2025-03-04T13:14:43+00:00,2026-01-06T01:04:13+00:00
com.huion.hinotes,712,3.91,20.225,2022-04-10T15:32:43+00:00,2026-01-05T11:50:08+00:00
com.innosq.soundtypeai,1200,4.298,13.0,2025-07-11T14:15:13+00:00,2026-01-06T15:18:48+00:00
com.innovapp.meeting.ai.note.taker,38,3.421,31.579,2025-05-18T07:07:15+00:00,2025-12-22T05:35:43+00:00
com.inoid.notter.ai.note.taker,12,5.0,0.0,2025-09-29T06:34:38+00:00,2025-11-22T13:50:21+00:00
com.instant.ai.notes,374,3.947,24.599,2024-10-25T15:31:26+00:00,2025-12-28T19:52:37+00:00
com.itflat.smartnotes,6,3.667,33.333,2021-02-19T02:19:25+00:00,2023-09-08T08:02:19+00:00
com.james.SmartNotepad,414,4.024,15.942,2010-10-23T17:54:27+00:00,2025-12-08T19:02:03+00:00
com.jideos.jnotes.overseas.google,1200,3.537,27.667,2024-12-13T12:46:19+00:00,2026-01-06T11:01:09+00:00
com.joyolabs.noteify,1200,4.405,8.833,2025-06-28T11:29:25+00:00,2026-01-06T17:10:22+00:00
com.jsk.voicenotes,44,3.545,22.727,2022-04-30T05:15:29+00:00,2025-09-04T13:11:44+00:00
com.knowt.app,1200,3.49,31.5,2024-09-28T10:36:21+00:00,2026-01-06T11:55:07+00:00
com.komorebi.memo,1200,4.498,7.167,2022-04-06T08:27:44+00:00,2026-01-04T04:53:49+00:00
com.kuaima.smartnote,30,1.467,86.667,2018-08-15T13:42:44+00:00,2024-06-09T18:40:54+00:00
com.langogo.transcribe,1200,3.01,46.167,2024-12-10T16:22:34+00:00,2025-12-31T09:03:35+00:00
com.ma.waveapp,249,3.361,37.751,2024-08-01T19:18:29+00:00,2026-01-04T16:43:04+00:00
com.meetgeek.assistant,132,3.894,24.242,2023-12-08T12:50:03+00:00,2025-12-30T12:26:07+00:00
com.mi.minutes.ai,28,3.429,35.714,2025-06-19T21:02:42+00:00,2025-11-26T11:43:01+00:00
com.microsoft.office.onenote,1000,3.742,26.4,2025-10-28T13:30:10+00:00,2026-01-06T16:39:49+00:00
com.microsoft.office.word,1200,4.247,14.0,2025-12-30T06:03:57+00:00,2026-01-06T17:11:54+00:00
com.mobisystems.office,1200,4.242,14.333,2025-11-23T03:44:47+00:00,2026-01-06T15:41:24+00:00
com.mobitra.paper,22,4.545,0.0,2023-05-25T10:10:32+00:00,2024-03-15T14:27:59+00:00
com.module.notelycompose.android,476,4.828,2.521,2025-05-11T16:43:00+00:00,2025-12-28T10:50:51+00:00
com.moleskine.notes,460,1.535,86.087,2020-12-04T12:37:32+00:00,2025-11-25T22:14:13+00:00
com.myscript.nebo,1200,3.308,35.5,2025-06-22T01:18:31+00:00,2026-01-06T15:02:44+00:00
com.net.cleanapps.summarize,132,4.333,7.576,2024-06-14T09:12:49+00:00,2025-12-09T18:52:25+00:00
com.notepad.smartnotes,62,4.452,9.677,2021-07-11T10:28:32+00:00,2025-08-12T13:58:07+00:00
com.notes.keepsmart.calendar.notebook,22,3.455,36.364,2024-07-10T06:05:56+00:00,2025-12-02T09:33:09+00:00
com.notes.notebook.cutenotes,72,2.611,58.333,2025-03-30T08:19:41+00:00,2026-01-06T14:26:58+00:00
com.notes.todolist.notebook.checklist.notepad.android,1200,3.873,23.5,2025-11-06T05:34:15+00:00,2026-01-06T17:04:27+00:00
com.oeprojects.smartnotebook,2,5.0,0.0,2022-02-11T22:55:25+00:00,2022-02-11T22:55:25+00:00
com.onyx.galaxy.global.note,1200,4.312,9.0,2025-07-31T17:21:17+00:00,2026-01-06T12:07:50+00:00
com.ozeito.notemind,2,5.0,0.0,2025-10-06T06:22:40+00:00,2025-10-06T06:22:40+00:00
com.pandadoc.mobile,212,3.264,38.679,2017-09-26T22:23:27+00:00,2025-12-24T22:25:38+00:00
com.pdffiller,1200,2.85,52.0,2025-02-19T04:20:44+00:00,2026-01-06T02:58:54+00:00
com.peace.Transcriber,492,3.911,23.577,2024-11-10T06:01:14+00:00,2026-01-06T08:33:48+00:00
com.podi,206,4.214,14.563,2024-02-28T01:35:03+00:00,2025-12-09T13:11:27+00:00
com.presbtech.notedy,8,3.0,50.0,2025-07-06T18:48:12+00:00,2025-11-06T17:04:18+00:00
com.qubitsolutionlab.aiwriter,1200,4.678,6.167,2023-10-31T10:40:01+00:00,2026-01-05T07:12:18+00:00
com.quillbot.mobile,1200,3.71,26.5,2025-05-17T16:19:19+00:00,2026-01-06T06:01:32+00:00
com.quizlet.quizletandroid,1200,4.048,19.5,2025-11-13T01:18:10+00:00,2026-01-06T07:41:49+00:00
com.read.ai,16,4.75,0.0,2025-10-28T21:54:05+00:00,2026-01-03T02:29:10+00:00
com.recordpro.audiorecord,22,4.455,9.091,2025-09-09T09:45:35+00:00,2026-01-02T15:08:28+00:00
com.samsung.android.app.notes,1200,4.62,5.333,2026-01-03T10:33:41+00:00,2026-01-06T17:11:26+00:00
com.shapun.typi,156,4.333,11.538,2025-10-01T18:11:12+00:00,2026-01-04T16:40:04+00:00
com.signnow.android,1200,2.452,62.0,2024-06-04T18:11:42+00:00,2026-01-06T12:49:37+00:00
com.sleepwalkers.notebooks.pro,1200,3.537,28.167,2014-07-23T22:29:02+00:00,2026-01-01T03:22:03+00:00
com.smartwriter.smart_writer,1200,4.47,9.667,2023-12-27T03:57:23+00:00,2026-01-04T00:52:55+00:00
com.socialnmobile.dictapps.notepad.color.note,1200,4.788,2.833,2025-12-23T04:28:45+00:00,2026-01-06T17:09:40+00:00
com.softradix.summarizex,42,5.0,0.0,2025-07-16T06:43:54+00:00,2026-01-01T17:23:39+00:00
com.sota.ainotex,194,3.598,29.897,2024-11-05T19:04:57+00:00,2026-01-04T22:10:48+00:00
com.speechnote.stnmobile,34,4.176,23.529,2024-11-18T09:11:43+00:00,2025-12-06T05:40:17+00:00
com.starnest.notecute,1200,4.052,17.333,2025-04-06T15:37:40+00:00,2026-01-06T10:50:57+00:00
com.steadfastinnovation.android.projectpapyrus,1200,3.792,23.0,2023-09-08T10:57:44+00:00,2026-01-06T07:39:46+00:00
com.studocu.app,1000,4.272,13.0,2024-02-04T08:52:36+00:00,2026-01-06T16:44:33+00:00
com.studyai.ainotetaker,18,4.333,11.111,2025-08-25T05:22:44+00:00,2025-12-20T06:01:12+00:00
com.studyfetch.mobile.v2,1200,4.307,12.167,2025-10-09T21:45:54+00:00,2026-01-06T17:01:25+00:00
com.studysmarter,1200,4.105,18.0,2024-10-09T06:12:07+00:00,2026-01-05T17:57:57+00:00
com.textsummarizer.summarizer,62,3.097,45.161,2022-02-20T18:22:49+00:00,2025-09-10T09:48:12+00:00
com.textsummarizer.summerize.summaryapp,18,4.778,0.0,2024-02-26T15:43:11+00:00,2025-11-14T10:54:11+00:00
com.thesaifhusain.ainote,30,4.0,20.0,2024-03-06T12:58:44+00:00,2025-07-25T13:06:10+00:00
com.topstack.kilonotes.pad,1200,3.998,18.667,2025-07-12T02:45:48+00:00,2026-01-06T13:29:26+00:00
com.transcribe.audio.to.text,446,3.978,21.076,2024-09-29T07:34:18+00:00,2026-01-05T17:51:36+00:00
com.transkriptor.app,1200,3.438,37.0,2025-06-20T20:54:36+00:00,2026-01-06T01:46:28+00:00
com.transsion.notebook,1200,4.095,19.5,2025-12-09T16:10:16+00:00,2026-01-06T16:49:49+00:00
com.tutr.smartnotes,2,5.0,0.0,2025-12-20T06:04:09+00:00,2025-12-20T06:04:09+00:00
com.voicenotebook.voicenotebook,1200,4.513,6.667,2023-05-03T06:35:07+00:00,2026-01-04T18:03:46+00:00
com.voiser.speechtotextandroid,568,3.996,19.014,2024-01-11T10:58:15+00:00,2025-12-28T15:18:27+00:00
com.waysol.prowriteai,12,5.0,0.0,2025-12-25T15:24:59+00:00,2026-01-01T07:45:42+00:00
com.writein.ai_writer,250,4.624,4.8,2024-12-18T09:41:13+00:00,2026-01-05T20:25:25+00:00
com.xdev.docxreader.docx.docxviewer.document.doc.office.viewer.reader.word,1200,4.505,11.833,2025-12-18T13:01:27+00:00,2026-01-06T13:30:36+00:00
com.xplore.iamwriter,234,4.632,7.692,2024-06-20T11:11:43+00:00,2026-01-06T05:18:56+00:00
com.yygg.note.app,1200,3.753,26.167,2025-08-29T16:13:30+00:00,2026-01-06T11:23:49+00:00
com.zoho.notebook,1200,4.09,18.167,2025-10-11T02:49:31+00:00,2026-01-06T10:03:14+00:00
com.zoho.writer,1200,3.517,32.667,2022-05-31T07:33:10+00:00,2026-01-06T11:22:08+00:00
de.knowunity.app,1200,4.458,10.0,2025-10-06T19:22:21+00:00,2026-01-06T16:29:01+00:00
de.townkult.notizblock,774,4.163,15.504,2017-01-30T13:57:18+00:00,2025-10-17T23:16:49+00:00
dev.insider.apps.summary,134,4.179,14.925,2024-05-02T14:56:43+00:00,2025-12-08T12:58:14+00:00
easynotes.notes.notepad.notebook.privatenotes.note,1000,4.548,8.4,2025-10-25T19:34:15+00:00,2026-01-06T16:44:06+00:00
evolly.app.ainote,154,3.403,33.766,2025-01-08T19:48:30+00:00,2026-01-04T02:26:35+00:00
io.labhouse.audioapp,647,3.949,21.484,2025-10-01T14:25:51+00:00,2026-01-06T11:06:08+00:00
io.paraga.note,138,4.29,13.043,2025-06-11T17:17:06+00:00,2025-12-31T21:37:37+00:00
io.zyur.textelevate,10,3.2,40.0,2025-04-07T19:17:37+00:00,2025-10-03T03:39:02+00:00
it.feio.android.omninotes,1200,4.105,12.167,2014-10-27T04:57:57+00:00,2026-01-05T20:15:39+00:00
journal.notes.planner.starnest,1200,4.245,13.0,2025-11-12T04:35:28+00:00,2026-01-06T14:25:33+00:00
mia.smartnotes.app,8,4.5,0.0,2025-08-25T20:22:10+00:00,2025-11-10T00:48:30+00:00
mindnotes.note.notepad.notebook.memo.stickynotes,1200,4.193,15.167,2024-02-08T21:01:28+00:00,2026-01-06T17:18:15+00:00
notes.notepad.checklist.calendar.todolist.notebook,1200,4.803,3.5,2025-12-14T09:13:08+00:00,2026-01-06T16:22:09+00:00
notion.id,1000,3.938,21.2,2025-10-07T08:16:20+00:00,2026-01-06T15:22:19+00:00
olanotes.notepad.notes.notebook.note.checklist.stickynotes,1200,4.567,7.333,2023-12-06T19:15:09+00:00,2026-01-06T05:17:05+00:00
online.clipitradigitalservices.notestaking,8,4.75,0.0,2025-12-19T20:30:32+00:00,2025-12-23T13:38:31+00:00
org.geosoftech.notes,108,4.204,12.963,2021-08-11T08:14:53+00:00,2025-12-06T21:47:26+00:00
ru.babushkinanatoly.development.voicenotepad,446,4.202,12.556,2020-03-30T14:32:34+00:00,2025-12-29T19:29:06+00:00
ru.vsms,1200,4.252,13.0,2025-03-11T06:32:19+00:00,2026-01-04T07:31:54+00:00
tidynotes.notepad.notes.notebook.note.checklist.todolist,1200,4.245,15.667,2025-04-19T17:36:21+00:00,2026-01-06T15:44:24+00:00
voice.recorder.note.ai.transcriber,20,3.65,25.0,2025-06-10T11:03:18+00:00,2025-11-08T00:58:09+00:00
work.opale.mydocs,650,4.477,7.692,2021-12-01T19:39:24+00:00,2026-01-06T17:10:44+00:00
youdao.smart.voice.recorder.memo.transcribe.free,512,2.926,48.828,2022-12-07T17:43:14+00:00,2025-12-30T17:02:03+00:00
